Model,Accuracy (c),False Positive ratio (f),All Detected batches,Correctly Detected batches,Wrongly Detected batched,Run #
MaxKur,100.0,3.57,"[12, 29, 30]","[29, 30]",[12],1
minKur,0.0,3.57,[24],[],[24],1
MaxSkew,100.0,10.71,"[12, 19, 26, 29, 30]","[29, 30]","[12, 19, 26]",1
$T^2$ Hotelling,50.0,7.14,"[13, 24, 30]",[30],"[13, 24]",1
PCA1,100.0,3.57,"[12, 29, 30]","[29, 30]",[12],1
PCA2,0.0,7.14,"[6, 19]",[],"[6, 19]",1
ICA1,50.0,7.14,"[13, 18, 30]",[30],"[13, 18]",1
ICA2,0.0,7.14,"[6, 19]",[],"[6, 19]",1
